,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,V,PP,BAC,Contract Status Change Date,MLS
1,22144313,A,SFR,1132,CHANTILLY RD  ,LA,C04,STD,"$3,075,000.00","$1,214.93","3/3,0,0,0",2531/,1962,"25,292/0.58",68/68,Y,N,2.5,04/07/22,CLAW
1,22160875,A,SFR,10190,BAYWOOD CT  ,LA,C04,STD,"$3,490,000.00",$914.33,"4/3,0,0,0",3817/AP,1977,"119,983/2.75",14/14,Y,Y,2.5,05/31/22,CLAW
1,22157163,A,SFR,11348,THURSTON CIR  ,LA,C04,STD,"$3,495,000.00","$1,240.24","4/3,0,1,0",2818/OTH,1947,"9,223/0.21",29/29,N,Y,2.5,05/16/22,CLAW
1,21790456,A,SFR,14330,Mulholland DR  ,LA,C04,STD,"$3,950,000.00",$865.85,"5/4,0,1,0",4562/,1991,"9,665/0.22",254/483,Y,N,2.5,10/01/21,CLAW
1,22160987,A,SFR,1111,CASIANO RD  ,LA,C04,NOD,"$3,995,000.00",$904.05,"5/6,0,0,0",4419/,1939,"23,499/0.53",13/13,,N,2.5,06/01/22,CLAW
1,22150459,A,SFR,2456,ROSCOMARE RD  ,LA,C04,STD,"$4,295,000.00","$1,073.75","4/4,0,0,0",4000/,1951/ASR,"9,286/0.21",43/43,Y,N,2.5,05/01/22,CLAW
1,22159497,A,SFR,911 N,LINDA FLORA DR  ,LA,C04,STD,"$4,800,000.00","$1,648.35","4/4,0,0,0",2912/A,1962/ASR,"38,713/0.88",22/22,Y,Y,2.5,05/23/22,CLAW
1,22159549,A,SFR,10498,SANDALL LN  ,LA,C04,STD,"$4,900,000.00",,"3/2,0,0,0",/,1957,"10,048/0.23",22/22,Y,N,2.5,05/23/22,CLAW
1,22148395,A,SFR,1641,STRADELLA RD  ,LA,C04,STD,"$4,995,000.00",$916.51,"4/7,0,0,0",5450/,1964,"20,498/0.47",53/53,Y,Y,2.5,04/22/22,CLAW
1,22159959,A,SFR,1140,ROBERTO LN  ,LA,C04,STD,"$5,395,000.00","$1,232.86","4/4,0,1,0",4376/A,1967,"17,433/0.4",22/22,Y,N,2.5,05/23/22,CLAW
1,22167325,A,SFR,282,BENTLEY CIR  ,LA,C04,STD,"$5,499,000.00","$1,447.11","4/3,0,1,0",3800/,1949,"28,384/0.65",1/1,Y,N,2.5,06/13/22,CLAW
1,22154043,A,SFR,11467,THURSTON CIR  ,LA,C04,STD,"$5,499,000.00","$1,229.10","6/6,0,0,0",4474/,1951,"12,749/0.29",25/25,Y,N,2.5,05/20/22,CLAW
1,22161945,A,SFR,1070,Somera RD  ,LA,C04,STD,"$5,500,000.00","$1,431.17","4/1,3,1,0",3843/A,1961/ASR,"27,579/0.63",18/18,Y,N,2.5,05/27/22,CLAW
1,22156073,A,SFR,1305,CASIANO RD  ,LA,C04,STD,"$5,500,000.00","$1,046.22","6/5,0,2,0",5257/OTH,2014,"7,703/0.17",33/33,Y,Y,2.5,05/12/22,CLAW
1,SB22005149,A,SFR/D,1643,Stone Canyon RD  ,LA,C04,STD,"$5,750,000.00","$1,057.76","5/6,0,0,0",5436/A,2007/ASR,"15,942/0.366",155/155,Y,N,2.5,01/10/22,CRMLSM
1,22152497,A,SFR,1880,BEL AIR RD  ,LA,C04,STD,"$6,200,000.00","$1,106.75","5/4,1,1,0",5602/,1988,"13,935/0.31",31/31,Y,N,2.5,05/11/22,CLAW
1,22155381,A,SFR,15438,MULHOLLAND DR  ,LA,C04,STD,"$6,295,000.00","$1,472.17","4/4,0,0,0",4276/,1951,"26,265/0.6",29/29,Y,N,2.5,05/16/22,CLAW
1,22144843,A,SFR,15526,HAMNER DR  ,LA,C04,STD,"$6,300,000.00",$998.42,"6/5,1,1,0",6310/,2001/SLR,"10,818/0.24",49/49,N,Y,2.25,04/08/22,CLAW
1,21112039,A,SFR,1211,LINDA FLORA DR  ,LA,C04,STD,"$7,495,000.00",$868.38,"5/6,0,0,0",8631/D,,"119,760/2.74",182/182,Y,Y,2.5,12/14/21,CLAW
1,22163481,A,SFR,10985,BELLAGIO RD  ,LA,C04,STD,"$7,995,000.00","$3,217.30","3/3,0,0,0",2485/,1953,"28,281/0.64",12/12,Y,N,2.5,06/02/22,CLAW
1,22160011,A,SFR,2151,RAVENSFIELD LN  ,LA,C04,STD,"$7,999,000.00","$1,065.40","6/6,0,1,0",7508/,2000,"20,938/0.48",22/22,,Y,2,05/18/22,CLAW
1,22159535,A,SFR,1234,STRADELLA RD  ,LA,C04,STD,"$8,250,000.00","$2,634.94","3/3,0,0,0",3131/A,1979/ASR,"136,817/3.14",22/194,Y,Y,2.5,05/23/22,CLAW
1,22151867,A,SFR,1140,BROOKLAWN DR  ,LA,C04,STD,"$8,500,000.00","$1,610.46","4/4,0,2,0",5278/T,1961,"15,449/0.35",45/245,Y,Y,2.5,04/30/22,CLAW
1,22163485,A,SFR,11010,CHALON RD  ,LA,C04,STD,"$8,899,000.00","$1,861.72","4/4,0,0,0",4780/OTH,1960,"10,728/0.24",12/12,Y,N,2.5,06/02/22,CLAW
1,22139179,A,SFR,1945,LINDA FLORA DR  ,LA,C04,STD,"$9,999,999.00","$1,308.90","6/7,0,1,0",7640/,1954,"17,307/0.39",80/80,Y,N,2.5,03/25/22,CLAW
1,22129621,A,SFR,540 N,BEVERLY GLEN BLVD  ,LA,C04,STD,"$10,750,000.00","$2,625.15","4/4,1,1,0",4095/A,1941/ASR,"39,324/0.9",97/97,,Y,2.5,03/09/22,CLAW
1,21733396,A,SFR,883,Linda Flora DR  ,LA,C04,STD,"$10,850,000.00",$952.76,"7/12,0,0,0",11388/,2017,"46,840/1.07",374/374,Y,N,2.5,05/17/21,CLAW
1,22159975,A,SFR,1324,STRADELLA RD  ,LA,C04,STD,"$11,495,000.00","$1,327.98","6/6,0,2,0",8656/OTH,2022,"19,827/0.45",22/22,Y,Y,2.5,05/23/22,CLAW
1,22165993,A,SFR,1523,STRADELLA RD  ,LA,C04,STD,"$11,595,000.00","$1,539.02","6/6,0,2,0",7534/AP,2022/SLR,"15,747/0.36",3/3,Y,Y,2.5,06/11/22,CLAW
1,22137737,A,SFR,10509,VESTONE WAY  ,LA,C04,STD,"$11,900,000.00","$1,057.68","7/7,0,3,0",11251/A,1997/ASR,"66,458/1.52",88/269,Y,Y,2,03/18/22,CLAW
1,22160101,A,SFR,976,BEL AIR RD  ,LA,C04,STD,"$11,995,000.00","$2,685.85","4/5,0,0,0",4466/A,2007,0/0,22/22,Y,Y,2,05/23/22,CLAW
1,21111707,A,SFR,1145,STRADELLA RD  ,LA,C04,STD,"$12,000,000.00","$2,150.54","5/5,0,1,0",5580/,2000,"49,553/1.13",176/176,Y,N,2,12/20/21,CLAW
1,22148783,A,SFR,779,STRADELLA RD  ,LA,C04,STD,"$12,800,000.00",$492.31,"0/0,0,0,0",26000/D,,"55,045/1.26",47/47,Y,N,2.5,04/28/22,CLAW
1,22159961,A,SFR,10542,FONTENELLE WAY  ,LA,C04,STD,"$12,995,000.00","$1,856.43","5/7,0,0,0",7000/,1963,"53,491/1.22",22/22,Y,N,2.5,05/23/22,CLAW
1,22146185,A,SFR,10101 W,SUNSET BLVD  ,LA,C04,STD,"$12,995,000.00","$1,588.24","5/6,0,0,0",8182/,1987,"24,188/0.55",33/33,Y,Y,2.5,05/12/22,CLAW
1,22129739,A,SFR,10950,Bellagio RD  ,LA,C04,STD,"$15,200,000.00","$1,941.25","6/6,0,0,0",7830/,1930/ASR,"33,436/0.76",112/304,Y,N,2.5,02/22/22,CLAW
1,22121377,A,SFR,11681,MORAGA LN  ,LA,C04,STD,"$15,750,000.00","$1,390.36","6/5,0,2,0",11328/T,1981/ASR,"30,491/0.7",130/130,,N,3,02/04/22,CLAW
1,22160225,A,SFR,10800,CHALON RD  ,LA,C04,STD,"$15,995,000.00","$2,355.67","6/5,0,0,0",6790/,1929,"37,077/0.85",21/21,Y,N,2.5,05/24/22,CLAW
1,22149921,A,SFR,1260,Bel Air RD  ,LA,C04,STD,"$16,950,000.00","$1,883.33","6/7,0,2,0",9000/,1952,"76,977/1.76",50/50,Y,Y,2.25,04/25/22,CLAW
1,22142953,A,SFR,1580,STONE CANYON RD  ,LA,C04,STD,"$16,995,000.00","$1,809.71","5/7,0,1,0",9391/,2020/BLD,"38,854/0.89",71/71,Y,N,2.5,04/04/22,CLAW
1,22161531,A,SFR,10480 W,SUNSET BLVD  ,LA,C04,STD,"$18,995,000.00","$1,461.15","8/9,0,2,0",13000/,2022,"20,004/0.45",18/193,Y,Y,2,05/27/22,CLAW
1,22157553,A,SFR,2304,DONELLA CIR  ,LA,C04,STD,"$19,950,000.00","$1,716.28","8/11,0,0,0",11624/OTH,2020/BLD,"12,146/0.27",8/8,Y,N,2.25,06/06/22,CLAW
1,22166811,A,SFR,268,BEL AIR RD  ,LA,C04,STD,"$19,995,000.00","$2,151.85","5/8,0,0,0",9292/AP,1934,"45,976/1.05",1/1,Y,Y,2.5,06/13/22,CLAW
1,22123991,A,SFR,948,Bel Air RD  ,LA,C04,STD,"$19,995,000.00","$1,176.18","0/0,0,0,0",17000/,,"43,732/1",125/125,Y,Y,2,02/09/22,CLAW
1,22144601,A,SFR,1006,CHANTILLY RD  ,LA,C04,STD,"$20,000,000.00","$2,000.00","6/8,0,0,0",10000/,2014,"24,580/0.56",67/67,Y,Y,2,04/08/22,CLAW
1,22148077,A,SFR,1740,BEL AIR RD  ,LA,C04,STD,"$21,950,000.00","$1,951.81","7/7,0,3,0",11246/OTH,2015/ASR,"43,822/1",56/56,Y,Y,2,04/19/22,CLAW
1,22130397,A,SFR,11507,ORUM RD  ,LA,C04,STD,"$22,400,000.00","$2,230.19","6/9,0,0,0",10044/A,2017/ASR,"56,802/1.3",43/43,Y,Y,2.5,05/02/22,CLAW
1,22140037,A,SFR,120 N,GLENROY AVE  ,LA,C04,STD,"$24,995,000.00","$1,718.70","9/13,0,0,0",14543/,,"21,499/0.49",71/71,N,N,2,04/04/22,CLAW
1,22145447,A,SFR,890,LINDA FLORA DR  ,LA,C04,STD,"$25,950,000.00","$2,829.57","6/1,6,1,0",9171/AP,2022/APP,"49,628/1.13",63/63,Y,N,2,04/12/22,CLAW
1,21765752,A,SFR,634,Stone Canyon RD  ,LA,C04,STD,"$26,000,000.00","$3,658.88","7/5,0,0,0",7106/A,1931/ASR,"94,037/2.15",319/319,Y,N,2,07/28/21,CLAW
1,22149211,A,SFR,11630,MORAGA LN  ,LA,C04,STD,"$26,500,000.00","$1,385.48","7/13,0,0,0",19127/,2021/BLD,"47,184/1.08",50/50,Y,N,2,04/25/22,CLAW
1,22132071,A,SFR,100 S,MAPLETON DR  ,LA,C04,STD,"$28,000,000.00","$3,404.67","5/6,2,0,0",8224/,1988,"43,924/1",104/252,Y,N,2,03/02/22,CLAW
1,22163605,A,SFR,642,PERUGIA WAY  ,LA,C04,STD,"$38,500,000.00","$2,666.57","5/9,0,0,0",14438/OTH,2018,"42,216/0.96",11/11,Y,Y,2,06/03/22,CLAW
1,22163521,A,SFR,670,PERUGIA WAY  ,LA,C04,STD,"$38,500,000.00","$2,695.70","7/9,0,0,0",14282/OTH,2015,"54,423/1.24",11/119,Y,N,2,06/03/22,CLAW
1,21105605,A,SFR,620,SIENA WAY  ,LA,C04,STD,"$39,000,000.00","$4,432.32","8/3,5,4,0",8799/,1926,"46,097/1.05",207/207,N,N,2,11/19/21,CLAW
1,22157515,A,SFR,385,COPA DE ORO RD  ,LA,C04,STD,"$39,500,000.00","$3,720.80","5/8,0,0,0",10616/A,2006/ASR,"48,726/1.11",28/28,N,Y,2,05/17/22,CLAW
1,22136796,A,SFR,626,Siena WAY  ,LA,C04,STD,"$39,995,000.00",,"5/8,0,0,0",/OTH,1938,"84,506/1.94",91/91,Y,N,2,03/15/22,CLAW
1,22134191,A,SFR,419,St Cloud RD  ,LA,C04,STD,"$42,950,000.00",,"8/11,0,5,0",/,2021/BLD,"26,992/0.61",99/249,Y,N,2,03/07/22,CLAW
1,22136401,A,SFR,111 N,MAPLETON DR  ,LA,C04,STD,"$43,750,000.00","$3,068.24","7/9,0,4,0",14259/OTH,1936,"57,386/1.31",88/356,N,N,2,03/18/22,CLAW
1,22149819,A,SFR,638,SIENA WAY  ,LA,C04,STD,"$47,500,000.00","$2,729.73","8/8,0,3,0",17401/,2022/SLR,"37,127/0.85",50/50,Y,Y,2,04/25/22,CLAW
1,22142231,A,SFR,300,STONE CANYON RD  ,LA,C04,STD,"$59,000,000.00","$3,352.27","8/6,3,4,0",17600/OTH,2004/ASR,"85,831/1.97",64/404,Y,Y,2,04/11/22,CLAW
1,22132513,A,SFR,300,STONE CANYON RD  ,LA,C04,STD,"$59,000,000.00","$3,352.27","8/6,3,4,0",17600/OTH,2004/ASR,"85,831/1.97",98/214,Y,Y,2,03/08/22,CLAW
1,22161345,A,SFR,755,SARBONNE RD  ,LA,C04,STD,"$63,500,000.00","$4,233.33","6/10,0,0,0",15000/OTH,2020,"45,460/1.04",19/19,Y,Y,2,05/26/22,CLAW
1,22144355,A,SFR,530 S,MAPLETON DR  ,LA,C04,STD,"$63,500,000.00","$1,886.96","11/21,0,6,0",33652/A,2017,"56,231/1.29",68/68,Y,N,2,04/07/22,CLAW
1,21705644,A,SFR,133 S,Mapleton DR  ,LA,C04,STD,"$65,000,000.00","$2,166.67","9/10,0,4,0",30000/,,"48,074/1.1",456/588,Y,N,2,03/15/21,CLAW
1,22125456,A,SFR,10979,CHALON RD  ,LA,C04,STD,"$68,500,000.00","$2,140.62","12/24,0,0,0",32000/,2018/ASR,"60,200/1.38",127/127,Y,N,2,02/07/22,CLAW
1,22116521,A,SFR,10250 W,Sunset BLVD  ,LA,C04,STD,"$75,000,000.00","$2,500.00","17/12,5,8,0",30000/OTH,1939,"122,563/2.81",154/338,Y,N,2,01/10/22,CLAW
1,22125547,A,SFR,594 S,MAPLETON DR  ,LA,C04,STD,"$165,000,000.00","$2,920.35","14/8,8,11,0",56500/D,1990,"200,449/4.6",123/123,Y,N,1.5,02/11/22,CLAW
1,22149681,A,CONDO,1825,WESTHOLME AVE   #4,LA,C05,STD,"$4,500.00",$2.30,"2/3,0,0,0",1959/,1981,"7,651/0.1756",48/48,N,N,2,04/27/22,CLAW
1,20607360,A,CONDO,2222,AVENUE OF THE STARS    #116,LA,C05,STD,"$365,000.00","$1,508.26","0/0,1,0,0",242/,1964,"177,810/4.08",693/693,N,N,2.5,07/21/20,CLAW
1,SB22122979,A,CONDO/A,1440,Veteran AVE   #325,LA,C05,STD,"$539,000.00",$883.61,"1/1,0,0,0",610/S,1972/ASR,"96,863/2.2237",5/5,Y,N,2.5,06/09/22,CRMLSM
1,22155155,A,CONDO,10747,WILSHIRE BLVD   #1105,LA,C05,STD,"$595,000.00",$691.86,"1/2,0,0,0",860/A,1972/ASR,"17,858/0.41",35/35,Y,N,2.5,05/10/22,CLAW
1,BB22090772,A,CONDO/A,10501,Wilshire BLVD   #805,LA,C05,STD,"$610,000.00",$932.72,"0/1,0,0,0",654/A,1963/ASR,"42,193/0.9686",42/42,Y,N,2.5,05/03/22,CRMLSM
1,22155659,A,CONDO,1300,MIDVALE AVE   #505,LA,C05,STD,"$639,000.00",$795.77,"1/1,0,0,0",803/,1968,"30,620/0.7",29/29,,N,2.5,05/19/22,CLAW
1,PW22081476,A,CONDO/A,2320 S,Bentley AVE   #105,LA,C05,STD,"$654,500.00",$626.32,"1/2,0,0,0",1045/A,1974/ASR,"18,741/0.4302",54/54,Y,N,2.5,04/21/22,CRMLSM
1,SB22127528,A,CONDO/A,10751,Wilshire BLVD   #1109,LA,C05,STD,"$699,000.00",$752.42,"1/1,0,1,0",929/A,1972/PUB,"17,823/0.4092",0/0,Y,N,2.5,06/14/22,CRMLSM
1,SR22119998,A,CONDO/A,11645,Montana AVE   #229,LA,C05,STD,"$699,000.00",$817.54,"1/1,0,0,0",855/A,1973/ASR,"50,002/1.1479",2/2,Y,N,2.5,06/12/22,CRIS
1,22150885,A,CONDO,2320 S,Bentley AVE   #203,LA,C05,STD,"$699,000.00",$672.12,"1/1,0,1,0",1040/,1974,"18,741/0.43",41/41,,N,2.5,05/04/22,CLAW
1,SR22122818,A,CONDO/A,1812,Overland AVE   #103,LA,C05,STD,"$750,000.00",$601.44,"2/2,0,0,0",1247/A,1980/ASR,"12,812/0.2941",5/5,N,N,2.5,06/06/22,CRIS
1,AR22126886,A,CONDO/A,10535,Wilshire BLVD   #402,LA,C05,STD,"$768,000.00",$715.75,"2/2,0,0,0",1073/A,1978/ASR,"52,804/1.2122",1/1,Y,N,2.5,06/13/22,CRMLSM
1,PW22116790,A,CONDO/A,1827,Greenfield AVE   #105,LA,C05,STD,"$769,000.00",$794.42,"2/2,0,0,0",968/A,1978/ASR,"13,226/0.3036",11/11,Y,N,2.5,05/31/22,CRMLSM
1,22164097,A,CONDO,10501,Wilshire BLVD   #1204,LA,C05,STD,"$799,000.00",$899.77,"2/2,0,0,0",888/OTH,1963,"42,193/0.96",11/11,Y,N,2.5,06/03/22,CLAW
1,22147453,A,CONDO,10982,ROEBLING AVE   #332,LA,C05,STD,"$799,000.00",$756.63,"2/2,0,0,0",1056/A,1973/ASR,"79,716/1.83",57/74,N,N,2.5,04/18/22,CLAW
1,22155701,A,CONDO,2170,CENTURY PARK EAST    #1410S,LA,C05,STD,"$825,000.00","$1,024.84","1/1,0,0,0",805/A,1966/ASR,"223,035/5.12",19/19,Y,N,2.5,05/26/22,CLAW
1,22158527,A,CONDO,1657,VETERAN AVE   #203,LA,C05,STD,"$849,000.00",$645.63,"2/2,0,0,0",1315/,1988,"7,868/0.18",26/26,Y,N,2.5,05/19/22,CLAW
1,22157959,A,CONDO,1888,GREENFIELD AVE   #204,LA,C05,STD,"$849,000.00",$638.35,"2/2,0,0,0",1330/,1974,"19,791/0.45",28/28,Y,N,2.5,05/17/22,CLAW
1,SR22063283,A,CONDO/A,10655,Kinnard AVE   #305,LA,C05,STD,"$849,000.00",$773.93,"2/2,0,0,0",1097/A,1963/ASR,"12,936/0.297",61/61,Y,N,2.5,03/30/22,CRIS
1,22162305,A,CONDO,2160,CENTURY PKWY   #702,LA,C05,STD,"$865,000.00",$808.41,"2/1,1,0,0",1070/,1966,"223,035/5.12",13/13,Y,N,2.5,06/01/22,CLAW
1,22162511,A,CONDO,2223 S,BENTLEY AVE   #106,LA,C05,STD,"$869,000.00",$730.25,"3/1,1,0,0",1190/A,1973/ASR,"16,904/0.38",12/12,N,N,2.5,06/02/22,CLAW
1,22167245,A,CONDO,1250 S,BEVERLY GLEN BLVD   #205,LA,C05,STD,"$879,000.00",$675.63,"2/2,0,0,0",1301/,1972,"28,664/0.65",1/1,Y,N,2,06/13/22,CLAW
1,22148799,A,CONDO,1500,CAMDEN AVE   #2E,LA,C05,STD,"$879,000.00",$612.54,"2/2,0,0,0",1435/,1972,"13,208/0.3",54/54,N,N,2.5,04/21/22,CLAW
1,22157591,A,CONDO,1888,GREENFIELD AVE   #202,LA,C05,STD,"$889,000.00",$685.43,"2/2,0,0,0",1297/,1974,"19,791/0.45",28/28,,N,2.5,05/17/22,CLAW
1,22150813,A,CONDO,2332,FOX HILLS DR   #101,LA,C05,STD,"$899,000.00",$628.23,"2/2,0,0,0",1431/A,1974/ASR,"18,206/0.41",48/48,,N,2.5,04/27/22,CLAW
1,SR22056835,A,CONDO/A,10535,Wilshire BLVD   #1404,LA,C05,STD,"$899,000.00",$826.29,"2/2,0,0,0",1088/A,1978/ASR,"52,804/1.2122",56/56,Y,N,2.5,04/09/22,CRIS
1,22153631,A,CONDO,10960,WELLWORTH AVE   #102,LA,C05,STD,"$919,000.00",$660.68,"2/1,1,0,0",1391/,1984,"7,983/0.18",35/35,N,N,2.5,05/06/22,CLAW
1,22162025,A,CONDO,10750,WILSHIRE BLVD   #604,LA,C05,STD,"$920,000.00",$645.16,"2/2,0,0,0",1426/,1980,"28,139/0.646",13/13,Y,N,2.5,04/27/22,CLAW
1,22157237,A,CONDO,2160,CENTURY PKWY   #102,LA,C05,STD,"$949,000.00",$886.92,"2/2,0,0,0",1070/,1966,"223,035/5.12",27/27,,N,2.5,05/18/22,CLAW
1,DW22125449,A,CONDO/A,10650,Holman AVE   #309,LA,C05,STD,"$989,000.00",$696.48,"2/2,0,0,0",1420/A,1974/PUB,"37,173/0.8534",4/4,Y,N,2,06/09/22,CRMLSM
501,22163999,A,CONDO,1817,MALCOLM AVE   #102,LA,C05,STD,"$989,000.00",$649.80,"2/1,1,0,0",1522/,1988/ASR,"6,758/0.15",5/5,,N,2.5,06/09/22,CLAW
501,22157697,A,CONDO,2220,AVENUE OF THE STARS    #506,LA,C05,STD,"$999,000.00",$932.77,"1/1,0,0,0",1071/OTH,1964,"177,810/4.08",28/28,,N,2.5,05/17/22,CLAW
501,21760352,A,CONDO,2170,Century PKWY   #1507,LA,C05,STD,"$999,000.00",$948.72,"2/2,0,0,0",1053/A,1966/ASR,"223,035/5.12",334/334,Y,N,2.5,07/15/21,CLAW
501,22163903,A,CONDO,2170,CENTURY PARK EAST    #1605,LA,C05,STD,"$999,999.00",$982.32,"1/2,0,0,0",1018/,1966,"223,035/5.12",11/11,Y,N,2.5,05/30/22,CLAW
501,22148787,A,CONDO,1930 S,BEVERLY GLEN BLVD   #PH3,LA,C05,STD,"$1,000,007.00",$654.88,"2/3,0,0,0",1527/,1984,"17,250/0.39",47/47,,N,2.5*,04/28/22,CLAW
501,22166563,A,CONDO,1872,MIDVALE AVE   #105,LA,C05,STD,"$1,015,000.00",$649.39,"2/2,0,0,0",1563/,1991,"19,391/0.44",4/4,N,N,2.5,06/10/22,CLAW
501,22149105,A,CONDO,1921,MALCOLM AVE   #101,LA,C05,STD,"$1,040,000.00",$671.40,"2/2,0,0,0",1549/,1989,"6,754/0.15",47/47,Y,N,2.5,04/28/22,CLAW
501,22148255,A,CONDO,1932,PELHAM AVE   #401,LA,C05,STD,"$1,049,000.00",$684.73,"2/2,0,0,0",1532/,1989,"6,753/0.15",50/50,Y,N,2.5,04/23/22,CLAW
501,22141591,A,SFR,11033,MASSACHUSETTS AVE   #8,LA,C05,STD,"$1,099,000.00",$723.50,"2/2,0,1,0",1519/,1974,"25,967/0.59",75/75,N,N,2.5,03/31/22,CLAW
501,22166159,A,CONDO,10550,WILSHIRE BLVD   #801,LA,C05,STD,"$1,108,000.00",$629.90,"2/3,0,0,0",1759/,1981,"18,562/0.42",5/211,Y,N,2.5,06/09/22,CLAW
501,22164991,A,CONDO,2323 S,BENTLEY AVE   #301,LA,C05,STD,"$1,149,000.00",$751.47,"2/2,0,1,0",1529/A,1982/ASR,"13,000/0.29",7/7,,N,2.5,06/07/22,CLAW
501,22159775,A,CONDO,1500,CAMDEN AVE   #3E,LA,C05,STD,"$1,149,000.00",$776.35,"2/2,0,0,0",1480/E,1972,"13,208/0.3",11/11,Y,N,3,06/03/22,CLAW
501,22153891,A,CONDO,2175 S,BEVERLY GLEN BLVD   #405,LA,C05,STD,"$1,149,000.00",$712.78,"2/3,0,0,0",1612/,1973,"30,180/0.69",38/38,Y,N,2.5,05/06/22,CLAW
501,22158371,A,CONDO,10364,ALMAYO AVE   #105,LA,C05,STD,"$1,189,000.00",$757.81,"2/2,0,0,0",1569/,2002,"18,608/0.42",26/26,N,N,2.5,05/19/22,CLAW
501,22161432,A,CONDO,10660,WILSHIRE BLVD   #806,LA,C05,STD,"$1,195,000.00",$663.89,"2/2,0,1,0",1800/,1980,"36,893/0.84",19/19,Y,N,2.5,05/26/22,CLAW
501,22151731,A,CONDO,2220,AVENUE OF THE STARS    #401,LA,C05,STD,"$1,195,000.00",$918.52,"2/2,0,0,0",1301/,1964,"177,810/4.08",46/46,Y,N,2.5,04/29/22,CLAW
501,22140071,A,CONDO,2025 S,BEVERLY GLEN BLVD   #2C,LA,C05,STD,"$1,195,000.00",$705.85,"3/3,0,0,0",1693/,1989,"12,546/0.28",81/81,N,N,2.5,03/25/22,CLAW
501,22156813,A,CONDO,2045 S,BENTLEY AVE   #102,LA,C05,STD,"$1,199,000.00",$638.79,"3/2,0,1,0",1877/OTH,2007,"6,501/0.14",31/31,N,N,2.5,05/14/22,CLAW
501,22157225,A,CONDO,10787,WILSHIRE BLVD   #804,LA,C05,STD,"$1,200,000.00",$822.48,"3/2,0,0,0",1459/,1962,"17,624/0.4",29/29,Y,N,2.5,05/16/22,CLAW
501,21103556,A,CONDO,10501,WILSHIRE    #1102,LA,C05,STD,"$1,200,000.00",$967.74,"2/2,0,1,0",1240/,1963/ASR,"42,193/0.96",196/196,Y,N,2*,11/30/21,CLAW
501,PW22064588,A,CONDO/A,10750,Wilshire BLVD   #606,LA,C05,STD,"$1,240,000.00",$712.23,"2/2,0,1,0",1741/A,1980/ASR,"28,139/0.646",54/54,Y,N,2,04/01/22,CRMLSM
501,22148443,A,CONDO,1840,VETERAN AVE   #301,LA,C05,STD,"$1,249,000.00",$499.60,"2/3,0,1,0",2500/,1981,"23,689/0.54",44/44,Y,N,2.5,05/01/22,CLAW
501,22165269,A,CONDO,1920,MALCOLM AVE   #202,LA,C05,STD,"$1,249,500.00",$757.27,"3/3,0,1,0",1650/A,2006/ASR,"13,510/0.31",7/7,N,N,2.5,06/07/22,CLAW
501,22138373,A,CONDO,2132,CENTURY PARK LN   #205,LA,C05,STD,"$1,290,000.00",$816.46,"2/2,0,0,0",1580/,1989,"589,286/13.52",84/84,Y,N,2.5,03/21/22,CLAW
501,22147345,A,CONDO,10551,WILSHIRE BLVD   #304,LA,C05,STD,"$1,295,000.00",$617.55,"2/2,0,1,0",2097/,1982,"26,401/0.6",53/53,Y,N,2.5,04/13/22,CLAW
501,22151475,A,TWNHS,10720,OHIO AVE   #21,LA,C05,STD,"$1,325,000.00",$758.88,"3/3,0,0,0",1746/A,1974/ASR,"36,347/0.83",29/29,,N,2.5,06/06/22,CLAW
501,22166923,A,CONDO,10777,WILSHIRE BLVD   #210,LA,C05,STD,"$1,349,000.00","$1,105.74","2/2,0,0,0",1220/A,2018/ASR,"26,428/0.6067",1/1,N,N,2.5,06/13/22,CLAW
501,22159491,A,CONDO,10590,WILSHIRE BLVD   #608 and 2B,LA,C05,STD,"$1,349,000.00",$661.92,"3/2,0,1,0",2038/,1976,"20,947/0.48",25/25,Y,N,2.5,05/20/22,CLAW
501,22157305,A,CONDO,1414 S,BEVERLY GLEN BLVD   #302,LA,C05,STD,"$1,349,000.00",$791.67,"2/2,0,1,0",1704/A,2005/ASR,"14,144/0.32",25/25,Y,N,2.5,05/20/22,CLAW
501,21789436,A,CONDO,10450,Wilshire BLVD   #5E,LA,C05,STD,"$1,350,000.00",$667.66,"3/2,0,0,0",2022/,1961,"41,025/0.94",257/257,Y,N,2.5,09/29/21,CLAW
501,22144689,A,CONDO,2311,CENTURY   ,LA,C05,STD,"$1,385,000.00",$706.27,"2/1,1,1,0",1961/,1980,"787,367/18.07",66/66,Y,N,2.5,04/08/22,CLAW
501,22126045,A,CONDO,10501,WILSHIRE BLVD   #2003,LA,C05,STD,"$1,395,000.00","$1,182.20","2/2,0,0,0",1180/,1963,"42,193/0.96",126/126,Y,,2.5,02/08/22,CLAW
501,22144861,A,CONDO,10660,WILSHIRE BLVD   #309,LA,C05,STD,"$1,399,000.00",$576.67,"3/3,0,1,0",2426/,1980,"36,893/0.84",67/94,Y,N,2.5,04/08/22,CLAW
501,SB22116764,A,CONDO/A,10795,Wilshire BLVD   #402,LA,C05,STD,"$1,450,000.00",$837.18,"2/1,1,1,0",1732/A,2001/PUB,"17,538/0.4026",11/11,Y,N,2.5,06/03/22,CRMLSM
